id,agency,url,mainCategory,subCategory,tags
4d827af7-b0f9-5790-912a-abc665dba4b7,국립중앙박물관,https://www.museum.go.kr,중앙행정기관,기타,정부도메인
36e24817-d6cf-5c59-b864-5819e1bae66e,국립국어원,https://www.korean.go.kr,중앙행정기관,기타,정부도메인
3c56e45f-ae57-51c5-92b4-c039aa543e6a,국립중앙도서관,https://www.nl.go.kr,지방자치단체,도,지방자치단체|정부도메인
4edb19fa-b876-5b92-ac7a-0e6d7af78967,국립중앙극장,https://www.ntok.go.kr,중앙행정기관,기타,정부도메인
5e438b66-e8b9-5126-a77c-87bb4b48a3e0,국립현대미술관,https://www.mmca.go.kr,중앙행정기관,기타,정부도메인
e600fc1e-259a-5344-9186-90ef52938158,국립국악원,https://www.gugak.go.kr,중앙행정기관,기타,정부도메인
26af8000-a59b-5cde-b989-da305f24a347,국립민속박물관,https://www.nfm.go.kr,중앙행정기관,기타,정부도메인
a016ed77-9a69-52a6-bc8b-88c8aa7b482b,한국정책방송원,https://www.ktv.go.kr,중앙행정기관,기타,정부도메인
3fbfa752-a3e1-5494-a264-933ef04beb66,한국예술종합학교,https://www.karts.ac.kr,중앙행정기관,기타,교육기관
2aa56738-5e5c-533e-9181-48502ee2bfdf,대한민국역사박물관,https://www.much.go.kr,중앙행정기관,기타,정부도메인
752ff65f-eccb-53b7-bd22-2df05b4b8e2b,대한장애인체육회,https://www.koreanpc.kr/index.do,중앙행정기관,기타,공공기관
8ab40f0e-dfe0-53d7-91a7-b0213cf8a94e,예술의전당,https://www.sac.or.kr,중앙행정기관,기타,공공기관
3ed948f5-9e02-5428-bf79-1ff17600382f,한국영상자료원,https://www.koreafilm.or.kr,중앙행정기관,기타,공공기관
e22fad5e-4b3b-513e-9b31-0f709e279a09,대한체육회,https://www.sports.or.kr,중앙행정기관,기타,공공기관
d495d5dc-3592-5a54-a72c-ba70d4e6b007,한국문화예술교육진흥원,https://www.arte.or.kr,중앙행정기관,기타,공공기관
98db19e8-0c91-5dde-96c1-efa0112e6186,한국문화예술위원회,https://arko.or.kr/,중앙행정기관,위원회,위원회
2eaca821-ce07-52d8-a8b2-b0d2656185d0,한국문학번역원,https://www.ltikorea.or.kr/,중앙행정기관,기타,공공기관
47f9e01a-8b1b-5b53-8221-57f1499c4abc,한국콘텐츠진흥원,https://www.kocca.kr,중앙행정기관,기타,공공기관
e7e78c88-1ae8-52e5-b220-93cfd9bf3b46,한국언론진흥재단,https://www.kpf.or.kr,중앙행정기관,기타,공공기관
1f4f1668-3cd4-5748-a92d-d93b7d38364d,한국공예디자인문화진흥원,https://www.kcdf.or.kr,중앙행정기관,기타,공공기관
a92f8ca5-f648-5ebc-b2f8-f6af88d64a3e,한국문화정보원,https://www.kcisa.kr,중앙행정기관,기타,공공기관
3beebc88-a650-543c-ae90-cd8b2a74c492,국립박물관문화재단,https://www.nmf.or.kr,중앙행정기관,기타,공공기관
4270b3ba-30e7-5c4a-88ec-2d541d602aa9,예술경영지원센터,https://www.gokams.or.kr/main/main.aspx,중앙행정기관,기타,공공기관
7e59d49d-b933-5102-b8b4-1f2ceda5ee0c,사행산업통합감독위원회,https://www.ngcc.go.kr,중앙행정기관,위원회,위원회|정부도메인
b4966815-13cf-5ca6-bc27-54988f0419d4,재단법인국악방송,https://www.igbf.kr,중앙행정기관,기타,공공기관
